,PEAD,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B4_pead_3sleeves,B5_hedged_3sleeves
2024-02-26,-0.008458798942868384,-0.006907886115832514,-0.016747043005427356,-0.0059658519169164806,-0.005727831633834429,-0.004582956704381363
2024-02-27,0.003501975400502344,0.0028267181533103126,0.006916582284046938,0.0030730463080038332,0.005402175982550775,0.004432561005418668
2024-02-28,-0.0016304998871194964,-0.000991860579316489,-0.00328686883375545,-0.0006049019341630329,0.0002468802922415476,0.00040264335656031605
2024-02-29,0.0036404736908839386,0.002214020158193969,0.007221061409070575,0.0029735144501887105,0.0004966623135599997,-1.540236566901373e-05
2024-03-01,-0.0017292793422987174,-0.005749279661268118,-0.003423540688633804,-0.0027527951940790113,-0.0026749115014080495,-0.004108217443869531
2024-03-04,0.004299828951455753,0.004866967721801375,0.0035539927143126387,0.003053970742390673,0.0009913811046675255,0.0014751655081071385
2024-03-05,-6.933217981264228e-05,0.0044922958996641655,-6.188357646139953e-05,-0.0014201234654636348,2.3625203181410273e-05,0.0021451260243191854
2024-03-06,0.0029430125454572575,0.0007818548511025914,0.002626814643955636,0.005986519426302163,0.0008916975052979592,-4.746639657147566e-05
2024-03-07,3.684009603666105e-05,-0.004269412415396507,3.289235816262909e-05,0.0015423169725593273,0.0019264413891977147,-0.000486609564255536
2024-03-08,0.0003041062349835588,0.003089006162795399,0.000271519669157039,-0.001843015828886565,-0.003015839701216104,-0.0010734239456384638
2024-03-11,0.00031818537991967766,0.0007002370697252096,0.00028409941544688333,-0.0031188343822759683,-0.00921123153046303,-0.007109952028306203
2024-03-12,-1.6535090454183887e-05,-0.0047040906174131945,-1.4764253501071317e-05,0.004936813423758335,0.008564161615789503,0.004570608114372156
2024-03-13,-0.0014658701356777826,-0.0006732907439595173,-0.0013088794413854707,0.00033938159959978945,0.0012362077225560504,0.0012311238420683887
2024-03-14,0.00024733431502665937,0.0012281089881162341,0.00022081076821093805,-0.0003230666552269799,0.0008472063949787124,0.0011536786478632101
