,B1_beta_hedged,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B3_pead_tsmom,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves
,w_H,w_P,w_P,w_P,w_tsmom_broad,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad,w_H,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad
date,,,,,,,,,,,,,,
2004-05-07,-0.564374629739745,0.9983410274641663,0.8727840714912386,1.000000436319502,0.0,0.7221444653688168,1.3459684881430556,0.0,0.0,-0.3938931365801545,0.6967706519087378,0.8535580377543817,0.0,0.0
2004-05-10,-0.5594108217863802,0.9889162155969066,0.8708467949284432,1.0000004439493027,0.0,0.7210758393984102,1.364106679237297,0.0,0.0,-0.39032747644169846,0.6900137712988608,0.8579412533934507,0.0,0.0
2004-05-11,-0.5561854949727523,0.9830908338740524,0.869666295190172,1.0000004486152694,0.0,0.7250083268420153,1.377559995497034,0.0,0.0,-0.38957558432893635,0.6885979399259019,0.8599350451020192,0.0,0.0
2004-05-12,-0.5608580840046139,0.9877931674181957,0.8702120735427955,1.0000004464564878,0.0,0.7262516058013201,1.3728926882346622,0.0,0.0,-0.3929503552611576,0.6920711087732685,0.859869624105396,0.0,0.0
2004-05-13,-0.5630483222901439,0.9913914277567824,0.8708990368133538,1.0000005426386323,0.0,0.723096553622808,1.3646216038541352,0.0,0.0,-0.3932841914721676,0.692477999955474,0.8589231982961084,0.0,0.0
2004-05-14,-0.5592852613815512,0.9890744168749037,0.8709207255619171,1.0000005425339586,0.0,0.7267094092478522,1.3662325207978978,0.0,0.0,-0.3921659683311328,0.6935303917845955,0.8569623345658945,0.0,0.0
2004-05-17,-0.5609214621941782,0.9893022877201937,0.870669101882232,1.0000007051979813,0.0,0.7281879227960802,1.3694296391937815,0.0,0.0,-0.3936753329378225,0.6943287674729286,0.858210477181142,0.0,0.0
2004-05-18,-0.5592874626023556,0.9844227226366522,0.869470080617906,1.000000794297842,0.0,0.7224617220229854,1.3781361890395387,0.0,0.0,-0.3906424339080753,0.6875843176885407,0.8620563581566011,0.0,0.0
2004-05-19,-0.5592512767180132,0.9873071582858396,0.8703775102250976,1.000000787953612,0.0,0.7212307897524001,1.3687161882947096,0.0,0.0,-0.3902544375846626,0.6889586413486704,0.8593393482444573,0.0,0.0
2004-05-20,-0.5572057569656317,0.98537176327488,0.870177727976759,1.0000008366169204,0.0,0.7248334063853666,1.372498122371907,0.0,0.0,-0.3901856722366595,0.6900107169570145,0.8587402028242309,0.0,0.0
2004-05-21,-0.5601342629855081,0.9871303193465686,0.8701482630989774,1.0000008368351376,0.0,0.7251663150810103,1.3729555585124813,0.0,0.0,-0.3921263661397554,0.6910482907591046,0.8599231797722308,0.0,0.0
2004-05-24,-0.5588490990177327,0.9881486455027658,0.8707188334864607,1.0000008883115352,0.0,0.7243751862917643,1.3670131379899129,0.0,0.0,-0.39109036300637856,0.6915201494521428,0.8577216331897792,0.0,0.0
2004-05-25,-0.559405381513094,0.9905200976760574,0.8713459633862178,1.0000008833661822,0.0,0.7272783373460803,1.362383798025601,0.0,0.0,-0.39246093690249806,0.6949172432042467,0.8555872571662646,0.0,0.0
2004-05-26,-0.5631795447556545,0.9985468030622002,0.8730817873687542,1.0000009493103863,0.0,0.7303730976542897,1.3470150689054103,0.0,0.0,-0.3959978756214172,0.7021249553599285,0.851088057647123,0.0,0.0
2004-05-27,-0.5647840605445151,1.0005102301814661,0.8733696004418813,1.0000012209549665,0.0,0.7302961804880829,1.3441813791277017,0.0,0.0,-0.3969984826902447,0.7032794851100488,0.8507837690691815,0.0,0.0
2004-05-28,-0.5653946137544947,1.0036636206002627,0.8742146966204124,1.0000012643798106,0.0,0.7314773130949316,1.3365222469867055,0.0,0.0,-0.3978480286707227,0.706242300846751,0.8481281126977855,0.0,0.0
2004-06-01,-0.5641813457097964,1.003606302121714,0.874434728568473,1.0000012618504746,0.0,0.7328225941872794,1.3350007421410588,0.0,0.0,-0.39756422337139635,0.7072157970265375,0.8467730169424041,0.0,0.0
2004-06-02,-0.6366908537817536,1.0,0.7930140316902544,0.5211652273389753,0.20904853411912885,0.43565026803877976,0.8848105505448092,0.0,0.1747469806976926,-0.31327592770212936,0.49203773831737,0.6117276578465634,0.0,0.12081406709282286
2004-06-03,-0.6370617533371218,1.0023737070012346,0.7939436507691908,0.5222485547064794,0.20929732340813753,0.43796953832853236,0.8823677068480613,0.0,0.17552150461762164,-0.31441530680722507,0.4947112818676949,0.6101054582061568,0.0,0.12136281412915287
2004-06-04,-0.6292157669305508,0.9965280671245692,0.7935028675276788,0.523303175916435,0.2069754249136728,0.43918122019129036,0.8856860686925709,0.0,0.1737037416293326,-0.3119574961192346,0.49406645060601884,0.6099142957079992,0.0,0.11961845058045374
2004-06-07,-0.63692912783411,1.0015305282827305,0.7936227433899632,0.52205597859456,0.20906227992943768,0.4391030107330243,0.883171628113988,0.0,0.17584297529713805,-0.3149729611211045,0.49527494090136337,0.6097789734882726,0.0,0.12140941302744535
2004-06-08,-0.6462807688044006,1.011221354485648,0.7952824057754239,0.5217129689329955,0.2122990971052656,0.4405266806276125,0.8748904479071237,0.0,0.17926220377326535,-0.3191407708520866,0.4993525695800395,0.6070663260335452,0.0,0.1243859133467936
2004-06-09,-0.6488719253997032,1.0121546764816427,0.7950080060649183,0.5214022862706219,0.21231998891521084,0.43955779694693664,0.8758736120532942,0.0,0.178992131474715,-0.3197178393022877,0.49871768763161967,0.6083137337678255,0.0,0.1243140223818276
2004-06-10,-0.642374512102768,1.006105592346456,0.7941445480034514,0.5222964223393759,0.20955445853466093,0.4391223273712264,0.8812476631041258,0.0,0.1761835570892827,-0.31706323140669657,0.49659362916111766,0.6100437730101108,0.0,0.12196308303445537
2004-06-14,-0.646660161970461,1.0094118477786966,0.7943963173576641,0.5217210935128388,0.21083754675756866,0.43889976101774825,0.8792701628927162,0.0,0.17736785043978306,-0.31859427773073945,0.49731351564315956,0.6098663200861542,0.0,0.12302325589376359
2004-06-15,-0.6381947461396645,1.0030117126872595,0.7938871658009292,0.523542368355709,0.2072455190036479,0.4391768878902678,0.8843712446855186,0.0,0.1738492385078294,-0.3154599724621988,0.4957891759176933,0.6111384005077842,0.0,0.1201372683583262
2004-06-16,-0.6434043505035684,1.0075294835189996,0.794443850716172,0.5228020698332435,0.20928043594352363,0.4394067597323293,0.8806622154757087,0.0,0.17589685186717993,-0.3175552057205943,0.4972708564342629,0.6100747253039325,0.0,0.12185174031422519
2004-06-17,-0.6405248454866825,1.0073845822441172,0.795123332968938,0.5244793565131,0.20786099079498563,0.4378950065545234,0.8807636943416765,0.0,0.17354599146044097,-0.3155573309501233,0.4962923643839637,0.6110466973213798,0.0,0.1204008584783113
2004-06-18,-0.639834096285892,1.0064321704968204,0.7949018487565832,0.5243279321357435,0.20772578194509161,0.4377707485637386,0.8815295171422155,0.0,0.1734339627638762,-0.3152559478118089,0.4958843701203787,0.6112486819579069,0.0,0.12025834539248152
2004-06-21,-0.6422827514647831,1.00765434705279,0.7947843040528233,0.524115350543259,0.2078538625038597,0.43920480630053677,0.8813199950784383,0.0,0.17418000698739564,-0.31695878068424294,0.4972652503350645,0.610804244689845,0.0,0.12071652544152171
2004-06-22,-0.638693575393214,1.0052142573755825,0.7946844339888841,0.5246655419953338,0.20685799261661786,0.4402286905602115,0.8823656653626551,0.0,0.17356737946845674,-0.31606070175796996,0.4974352895402852,0.6103152835371066,0.0,0.12005320307827914
2004-06-23,-0.6435424042981512,1.0084517393037309,0.7947945616279534,0.524287719801965,0.2076102061079738,0.4391868633984022,0.8815551023347808,0.0,0.17391152183479985,-0.3174465240892766,0.49744895940911427,0.6112178723793305,0.0,0.12057990484836419
2004-06-24,-0.6505559501090465,1.0140268668875665,0.7953242524792241,0.523991012087012,0.20892828799163393,0.44019685328750646,0.8784675946144378,0.0,0.1755174665503444,-0.3206441878106056,0.49979071146270587,0.6105403741708861,0.0,0.1219857173538727
2004-06-25,-0.6479250967940908,1.0119749567920326,0.7951425862076718,0.5231668127355266,0.2098749247771517,0.43920648585574534,0.8782208081231256,0.0,0.17619318721428565,-0.31913389213361015,0.49844574365270816,0.610098933562917,0.0,0.12240119412590403
2004-06-28,-0.6430008699346141,1.0088347992303839,0.7950939556103789,0.5228985928887239,0.21020034652106767,0.437776122344717,0.8784017742880031,0.0,0.17598190904883826,-0.31647958830088196,0.4965399532919787,0.609877665570845,0.0,0.12218490332672821
2004-06-29,-0.6398467406727856,1.0066219529797285,0.7949781787530894,0.5228479582184543,0.21008714710924264,0.43789350827877843,0.8787968199967582,0.0,0.17595133813931588,-0.3153106580506737,0.49605414894909766,0.6093915841897539,0.0,0.12201143910536712
2004-06-30,-0.6444155015987825,1.0093004120782614,0.7949254558685982,0.5224592696533341,0.21058804250455213,0.4392403005900696,0.878031490225367,0.0,0.1770449113703147,-0.317798601211094,0.4977444806409331,0.6090623598399373,0.0,0.12281039201587059
2004-07-01,-0.6490293599792519,1.012774291394881,0.7951931093400673,0.5215429480298256,0.21240994393164458,0.4386736328878316,0.8755354950956827,0.0,0.17865957562648624,-0.31929185027750556,0.4982372098286873,0.6087174910213409,0.0,0.12421336340042623
2004-07-02,-0.6087494392471169,1.0,1.7578277037855097,0.524742600539546,0.2065653341945678,0.44755352734969533,0.8657326678899679,0.0,0.1761797952975237,-0.30719997886274375,0.5046410872142725,0.6046477068758684,0.0,0.12304804147467707
