,cash_basis,mtm_rf,rf_index,spy_control,universe_control
2024-09-13,1.2464892144975135,1.3378230553040202,1.1031730422321044,1.1606543965118195,1.1520638487015877
2024-09-16,1.2464892144975135,1.3373406850831597,1.1033936768405508,1.1609528161535883,1.1527400065236084
2024-09-17,1.2464892144975135,1.3377700239582015,1.1036143555759188,1.1611821381592313,1.1531159546475969
2024-09-18,1.2457155419912695,1.3371282792276127,1.1038350784470339,1.161180186408269,1.153203160651992
2024-09-19,1.2457155419912695,1.3383715160313552,1.1040558454627232,1.1617799877049932,1.1537011052196977
2024-09-20,1.2457155419912695,1.3383131903972894,1.1042766566318156,1.161951170045069,1.1538463090535223
2024-09-23,1.2457155419912695,1.3379399626475497,1.104497511963142,1.162220168632792,1.154173321495376
2024-09-24,1.2457155419912695,1.3380015866881254,1.1047184114655346,1.1624976978840442,1.1544198596532484
2024-09-25,1.2457155419912695,1.3382401618616633,1.1049393551478277,1.1626576529990948,1.1544915187146088
2024-09-26,1.2457155419912695,1.3391206378602207,1.1051603430188572,1.1629159612384183,1.1548521225194173
2024-09-27,1.244118986455472,1.337062534693762,1.105381375087461,1.1629383630036296,1.155439518162653
2024-09-30,1.244118986455472,1.3382465766870613,1.1056024513624785,1.163495288817189,1.155759502089184
2024-10-01,1.244118986455472,1.3380992114493102,1.105823571852751,1.1628873832195588,1.1554661161233912
2024-10-02,1.244118986455472,1.3394168932754567,1.1060447365671215,1.1631229311073437,1.1556386571930335
2024-10-03,1.244118986455472,1.3408959699152962,1.106265945514435,1.1631577911266204,1.1554492921159503
2024-10-04,1.244118986455472,1.341379010676219,1.1064871987035378,1.164164655801622,1.1563790147960678
2024-10-07,1.244118986455472,1.3402380971097076,1.1067084961432785,1.1635504710789153,1.155857443522121
2024-10-08,1.244118986455472,1.341371724219931,1.1069298378425072,1.1645902743058354,1.1564073364622858
2024-10-09,1.244118986455472,1.34278776425918,1.1071512238100756,1.1654105815850913,1.1572558972824818
2024-10-10,1.244118986455472,1.3423780624618338,1.1073726540548376,1.165450148506836,1.1571181359882496
2024-10-11,1.244118986455472,1.342525371935713,1.1075941285856485,1.1661889248136734,1.1582615439521633
2024-10-14,1.244118986455472,1.3437335695607575,1.1078156474113656,1.1671299514462694,1.1590764395507054
2024-10-15,1.244118986455472,1.3449923900312704,1.1080372105408478,1.1666161155404953,1.1589036717651906
2024-10-16,1.244118986455472,1.3461347435634254,1.108258817982956,1.167209095055117,1.1597224256334449
2024-10-17,1.244118986455472,1.3470973296043645,1.1084804697465527,1.1674148488362006,1.159777599277379
2024-10-18,1.244118986455472,1.3477442531174837,1.1087021658405019,1.1679470405106647,1.1602306364814405
2024-10-21,1.244118986455472,1.3474150038333539,1.10892390627367,1.1679322209557061,1.15943219283727
2024-10-22,1.244118986455472,1.3465971610397,1.1091456910549247,1.168056840705179,1.15913704948687
2024-10-23,1.244118986455472,1.346449662795093,1.1093675201931357,1.16705011769353,1.1588581896372103
2024-10-24,1.2465250760511701,1.3445084512787717,1.1095893936971744,1.1676718496524086,1.1589826414453286
2024-10-25,1.2465250760511701,1.344525815624434,1.1098113115759138,1.1677850097747846,1.1583324875163241
2024-10-28,1.2465250760511701,1.3437537369201908,1.110033273838229,1.1685462257575185,1.1595410216271174
2024-10-29,1.2465250760511701,1.3438664538015923,1.1102552804929966,1.1690305814700297,1.1592489512263415
2024-10-30,1.2465250760511701,1.3425286101856089,1.1104773315490952,1.168483692468798,1.159194340168303
2024-10-31,1.2465250760511701,1.3408249106975685,1.110699427015405,1.1637739075640507,1.1564972579924087
2024-11-01,1.2465250760511701,1.3402656038834044,1.110921566900808,1.1650006646370663,1.1567151641198772
2024-11-04,1.2465250760511701,1.3383057024720797,1.111143751214188,1.1643263320579698,1.1571807111252363
2024-11-05,1.2465250760511701,1.339383263002657,1.1113659799644309,1.168808514876029,1.1621456453530636
2024-11-06,1.2465250760511701,1.3308596129694232,1.1115882531604238,1.178021243522027,1.1712584572777158
2024-11-07,1.2465250760511701,1.3343049027905711,1.1118105708110557,1.1810288083792477,1.172645084689999
2024-11-08,1.2465250760511701,1.3250638061216238,1.1120329329252179,1.1827724492652878,1.1751494294559317
2024-11-11,1.2465250760511701,1.2955258884661074,1.1122553395118029,1.1832394757177247,1.1773264001458101
2024-11-12,1.2465250760511701,1.2930288838806105,1.1124777905797052,1.1821633321918252,1.1746924241591086
2024-11-13,1.2465250760511701,1.2963641072853698,1.112700286137821,1.182452638607331,1.1747458745394528
2024-11-14,1.2465250760511701,1.3021833914142902,1.1129228261950486,1.180119208027927,1.1719836687426817
2024-11-15,1.2461482413015226,1.290728694574564,1.1131454107602876,1.17538835019102,1.169293281486732
2024-11-18,1.2461482413015226,1.2931420818336872,1.1133680398424397,1.1768863586883582,1.1713228841269052
2024-11-19,1.2461482413015226,1.2919134420321818,1.1135907134504082,1.1782397466061705,1.1713071401534436
2024-11-20,1.2392192963912985,1.289579327231058,1.1138134315930983,1.1784343078793322,1.172479660221933
2024-11-21,1.2370396970918967,1.301328438403488,1.1140361942794168,1.1797894622318188,1.175652215231927
2024-11-22,1.2370396970918967,1.3026037368448082,1.1142590015182727,1.1805025470132287,1.177342195942922
2024-11-25,1.2370396970918967,1.3003616887929867,1.1144818533185763,1.1812711942076322,1.1791511807545716
2024-11-26,1.2370396970918967,1.2997201626942771,1.11470474968924,1.1823800675223535,1.1792476637938947
2024-11-27,1.2295122762261133,1.295204897643233,1.1149276906391778,1.1818404618562421,1.1790855752698521
2024-11-29,1.1970986097518432,1.3001105341893306,1.1151506761773056,1.1827323073854867,1.1795929816066997
2024-12-02,1.1970986097518432,1.300349953911281,1.115373706312541,1.1829506754769001,1.179810629094207
