date,H1_gross,H1_net,H2_gross,H2_net,H3_gross,H3_net,H4_gross,H4_net,C0_gross,C0_net,C0_LC_gross,C0_LC_net,mkt_rf
2021-09-30,0.008849,0.006792,0.007362,0.005353,0.005911,0.003854,0.002833,0.000519,0.008626,0.006638,0.007101,0.005114,-0.044232
2021-10-31,-0.000750,-0.002806,0.001101,-0.000908,-0.007653,-0.009710,0.001036,-0.001279,-0.000556,-0.002544,-0.003487,-0.005475,0.066384
2021-11-30,0.007549,0.005493,0.009302,0.007295,0.000927,-0.001130,0.012035,0.009720,0.010799,0.008811,-0.000510,-0.002498,-0.015774
2021-12-31,0.034895,0.032838,0.023896,0.021888,0.033921,0.031864,0.033873,0.031557,0.022479,0.020491,0.018210,0.016222,0.032340
2022-01-31,0.033877,0.031820,0.020398,0.018385,0.039604,0.037548,0.030683,0.028364,0.026187,0.024199,0.026105,0.024117,-0.061572
2022-02-28,0.009425,0.007369,0.007230,0.005205,0.005772,0.003716,0.013125,0.010798,0.003951,0.001963,0.001440,-0.000547,-0.022515
2022-03-31,0.001010,-0.001047,0.005077,0.003050,-0.006832,-0.008889,0.005645,0.003319,-0.001368,-0.003356,-0.005703,-0.007691,0.030915
2022-04-30,0.032731,0.030674,0.022511,0.020483,0.032117,0.030061,0.028759,0.026435,0.031938,0.029950,0.026306,0.024319,-0.094141
2022-05-31,0.016854,0.014797,0.014884,0.012852,0.017480,0.015424,0.018281,0.015951,0.013617,0.011630,0.016860,0.014872,-0.003230
2022-06-30,-0.015417,-0.017474,-0.006836,-0.008874,-0.007109,-0.009165,-0.005814,-0.008144,-0.003095,-0.005083,-0.002883,-0.004864,-0.084035
2022-07-31,-0.010830,-0.012886,-0.012078,-0.014116,-0.018615,-0.020672,-0.019265,-0.021596,-0.009987,-0.011975,-0.017735,-0.019716,0.095741
2022-08-31,-0.003073,-0.005129,-0.003932,-0.005971,-0.000017,-0.002074,-0.006045,-0.008374,-0.001191,-0.003178,0.000881,-0.001101,-0.037761
2022-09-30,-0.001249,-0.003306,0.003641,0.001604,-0.001074,-0.003131,0.007602,0.005270,0.008153,0.006165,0.006624,0.004643,-0.093558
2022-10-31,0.020307,0.018251,0.016608,0.014564,0.028643,0.026586,0.007683,0.005342,0.013202,0.011214,0.015948,0.013967,0.078822
2022-11-30,0.007849,0.005792,0.005933,0.003883,0.004235,0.002178,0.010376,0.008035,0.004196,0.002208,0.003101,0.001120,0.046438
2022-12-31,0.014782,0.012725,0.010342,0.008291,0.017406,0.015349,0.015035,0.012689,0.014147,0.012159,0.011838,0.009856,-0.063818
2023-01-31,0.010585,0.008528,-0.007598,-0.009646,-0.000768,-0.002824,0.007252,0.004906,-0.015681,-0.017669,-0.015299,-0.017280,0.065926
2023-02-28,0.005496,0.003458,0.001954,-0.000081,-0.012783,-0.014821,0.008533,0.006182,0.008218,0.006243,-0.005948,-0.007917,-0.025520
2023-03-31,-0.007664,-0.009703,-0.004399,-0.006435,-0.008455,-0.010493,-0.008735,-0.011090,-0.004599,-0.006574,-0.017143,-0.019111,0.024946
2023-04-30,0.002762,0.000724,0.000326,-0.001725,0.000965,-0.001073,0.003726,0.001370,0.005870,0.003895,0.003848,0.001880,0.006296
2023-05-31,-0.016703,-0.018741,-0.013640,-0.015741,-0.028421,-0.030460,-0.012180,-0.014537,-0.011125,-0.013100,-0.023430,-0.025399,0.003401
2023-06-30,0.009996,0.007957,0.001329,-0.000773,0.009948,0.007909,-0.000479,-0.002841,0.000129,-0.001846,0.000537,-0.001432,0.064645
2023-07-31,0.001856,-0.000183,-0.001938,-0.004040,0.008613,0.006574,-0.003834,-0.006193,-0.005710,-0.007684,-0.000064,-0.002032,0.031878
2023-08-31,0.008805,0.006766,0.002724,0.000624,0.004439,0.002401,0.010797,0.008444,0.013251,0.011276,0.005538,0.003569,-0.023528
2023-09-30,0.008366,0.006327,0.003949,0.001841,0.008932,0.006893,0.012691,0.010334,0.007926,0.005951,0.006284,0.004316,-0.052231
2023-10-31,0.000936,-0.001102,0.000919,-0.001193,-0.001830,-0.003868,0.007573,0.005214,0.004603,0.002629,-0.002553,-0.004522,-0.031556
2023-11-30,0.008939,0.006901,0.005795,0.003679,0.019398,0.017360,0.002645,0.000285,0.006220,0.004245,0.007863,0.005895,0.088486
2023-12-31,0.006331,0.004292,-0.000355,-0.002481,0.003903,0.001865,0.007367,0.005006,0.001559,-0.000416,0.000021,-0.001947,0.048541
2024-01-31,0.003910,0.001871,0.000475,-0.001660,0.002401,0.000362,0.002533,0.000179,0.011464,0.009489,0.006578,0.004610,0.007199
2024-02-29,0.000582,-0.001456,-0.001963,-0.004084,-0.007755,-0.009793,-0.002944,-0.005286,-0.004753,-0.006727,-0.008854,-0.010823,0.050443
2024-03-31,0.021416,0.019378,0.009132,0.006997,0.012409,0.010370,0.020103,0.017761,0.009646,0.007671,0.010226,0.008258,0.028508
2024-04-30,0.003889,0.001851,0.004195,0.002062,-0.000455,-0.002494,0.014903,0.012567,-0.000149,-0.002123,-0.001906,-0.003874,-0.046528
2024-05-31,-0.005132,-0.007170,-0.005569,-0.007707,-0.015282,-0.017320,-0.019996,-0.022335,-0.007326,-0.009301,-0.005229,-0.007197,0.043267
2024-06-30,-0.001498,-0.003536,-0.001359,-0.003483,-0.004970,-0.007009,-0.003429,-0.005755,0.000566,-0.001409,-0.005037,-0.007005,0.028103
2024-07-31,0.009767,0.007729,0.005866,0.003739,0.015565,0.013527,0.004376,0.002040,0.008334,0.006359,0.012490,0.010521,0.012340
2024-08-31,-0.002097,-0.004135,-0.004213,-0.006341,-0.007584,-0.009623,0.004312,0.001976,0.006218,0.004243,-0.000835,-0.002803,0.015924
2024-09-30,0.004564,0.002525,0.002511,0.000383,-0.002619,-0.004658,0.003200,0.000859,0.001485,-0.000509,-0.002504,-0.004491,0.017211
2024-10-31,-0.001528,-0.003567,0.001098,-0.001028,0.000911,-0.001127,0.001174,-0.001166,0.000099,-0.001894,0.002066,0.000079,-0.010238
2024-11-30,0.012037,0.009999,0.008797,0.006669,0.005231,0.003193,0.010526,0.008186,-0.001160,-0.003153,0.000529,-0.001458,0.064768
2024-12-31,0.008454,0.006416,0.007941,0.005811,-0.004485,-0.006524,0.013172,0.010832,0.001641,-0.000352,-0.003458,-0.005445,-0.031464
